Employee Number,Age,Gender,Education Level,Educational Field,Position
1,41,Female,2,Life Sciences,Sales Executive
2,49,Male,1,Life Sciences,Research Scientist
4,37,Male,2,Other,Laboratory Technician
5,33,Female,4,Life Sciences,Research Scientist
8,32,Male,2,Life Sciences,Laboratory Technician
10,59,Female,3,Medical,Laboratory Technician
12,38,Male,3,Life Sciences,Manufacturing Director
13,36,Male,3,Medical,Healthcare Representative
14,35,Male,3,Medical,Laboratory Technician
16,31,Male,1,Life Sciences,Research Scientist
18,34,Male,2,Medical,Laboratory Technician
21,32,Male,2,Life Sciences,Research Scientist
23,53,Female,4,Life Sciences,Manager
24,38,Male,3,Life Sciences,Research Scientist
27,36,Male,4,Life Sciences,Sales Representative
28,34,Female,4,Life Sciences,Research Director
31,34,Male,1,Medical,Research Scientist
32,53,Female,3,Other,Manager
33,32,Female,1,Life Sciences,Research Scientist
35,42,Male,4,Marketing,Sales Executive
36,44,Female,4,Medical,Healthcare Representative
38,46,Female,4,Marketing,Manager
39,33,Male,3,Medical,Laboratory Technician
40,44,Male,4,Other,Healthcare Representative
42,39,Male,3,Technical Degree,Sales Representative
46,43,Female,2,Medical,Research Scientist
47,50,Male,2,Marketing,Sales Representative
49,35,Female,3,Marketing,Sales Representative
51,36,Female,4,Life Sciences,Research Scientist
52,33,Female,3,Life Sciences,Sales Executive
53,35,Male,2,Other,Laboratory Technician
58,41,Female,3,Technical Degree,Research Director
60,34,Male,4,Marketing,Sales Executive
61,37,Male,2,Life Sciences,Research Scientist
62,46,Male,4,Marketing,Sales Executive
63,35,Male,1,Life Sciences,Laboratory Technician
64,48,Male,2,Life Sciences,Laboratory Technician
68,44,Female,5,Marketing,Sales Executive
70,35,Male,2,Medical,Healthcare Representative
73,33,Female,2,Life Sciences,Research Director
74,35,Male,5,Life Sciences,Sales Executive
75,35,Female,4,Medical,Laboratory Technician
76,31,Male,4,Life Sciences,Laboratory Technician
77,37,Male,4,Life Sciences,Manufacturing Director
78,32,Male,3,Medical,Manufacturing Director
79,38,Female,5,Life Sciences,Laboratory Technician
80,50,Female,2,Medical,Research Director
81,59,Female,3,Life Sciences,Sales Executive
83,36,Female,3,Technical Degree,Healthcare Representative
84,55,Female,3,Medical,Manager
85,36,Male,3,Life Sciences,Manufacturing Director
86,45,Male,3,Life Sciences,Research Scientist
88,35,Male,3,Medical,Research Scientist
90,36,Male,3,Medical,Research Scientist
91,59,Female,1,Life Sciences,Sales Executive
95,31,Male,4,Medical,Research Scientist
96,32,Male,3,Life Sciences,Research Scientist
97,36,Female,3,Life Sciences,Laboratory Technician
98,31,Female,4,Life Sciences,Manufacturing Director
100,35,Male,4,Marketing,Sales Executive
101,45,Male,4,Other,Research Director
102,37,Male,4,Medical,Research Director
103,46,Male,2,Medical,Human Resources
105,35,Male,3,Medical,Research Scientist
106,55,Male,2,Life Sciences,Sales Executive
107,38,Female,3,Medical,Research Scientist
110,34,Male,2,Medical,Manufacturing Director
112,56,Male,3,Life Sciences,Manufacturing Director
116,51,Male,4,Life Sciences,Laboratory Technician
118,46,Male,2,Medical,Sales Executive
119,40,Male,4,Life Sciences,Healthcare Representative
120,51,Male,4,Marketing,Sales Executive
124,46,Male,3,Medical,Healthcare Representative
125,32,Male,4,Medical,Sales Executive
126,54,Female,4,Technical Degree,Research Director
131,58,Male,4,Medical,Sales Executive
132,44,Male,3,Medical,Laboratory Technician
133,37,Male,4,Human Resources,Human Resources
134,32,Male,1,Life Sciences,Research Scientist
138,34,Female,4,Other,Research Scientist
139,37,Male,2,Life Sciences,Healthcare Representative
140,59,Female,4,Human Resources,Manager
141,50,Female,3,Life Sciences,Research Director
145,51,Female,4,Medical,Healthcare Representative
147,34,Male,3,Life Sciences,Laboratory Technician
148,54,Female,3,Human Resources,Manager
151,34,Female,4,Life Sciences,Research Scientist
152,37,Male,3,Life Sciences,Sales Executive
153,34,Female,3,Medical,Manager
154,36,Female,2,Technical Degree,Sales Executive
155,36,Female,2,Life Sciences,Laboratory Technician
158,43,Male,2,Life Sciences,Manager
160,33,Male,2,Marketing,Sales Executive
161,56,Female,4,Life Sciences,Research Scientist
162,51,Male,3,Life Sciences,Research Director
163,31,Male,4,Life Sciences,Sales Executive
165,58,Female,4,Medical,Healthcare Representative
170,49,Female,4,Medical,Manufacturing Director
171,43,Female,3,Medical,Research Scientist
174,50,Female,3,Marketing,Sales Executive
175,31,Female,3,Life Sciences,Sales Executive
176,41,Male,1,Life Sciences,Sales Executive
178,36,Male,2,Medical,Manufacturing Director
179,51,Male,4,Life Sciences,Manufacturing Director
182,39,Female,4,Life Sciences,Sales Executive
190,32,Female,3,Medical,Laboratory Technician
192,45,Male,3,Medical,Research Scientist
193,38,Female,5,Technical Degree,Research Scientist
195,32,Male,2,Medical,Sales Executive
199,41,Male,3,Life Sciences,Manager
200,41,Male,4,Life Sciences,Laboratory Technician
202,40,Female,3,Medical,Research Scientist
204,35,Male,5,Marketing,Sales Executive
205,53,Male,2,Marketing,Sales Representative
206,45,Male,3,Life Sciences,Laboratory Technician
207,32,Female,3,Marketing,Sales Executive
211,51,Male,4,Medical,Manufacturing Director
214,58,Female,3,Medical,Research Scientist
215,40,Male,4,Marketing,Sales Executive
216,34,Female,4,Marketing,Sales Representative
223,57,Male,2,Life Sciences,Healthcare Representative
226,50,Female,3,Life Sciences,Manager
227,41,Male,3,Life Sciences,Research Scientist
230,38,Female,4,Life Sciences,Sales Executive
231,32,Male,5,Life Sciences,Research Scientist
238,36,Male,2,Medical,Laboratory Technician
240,45,Female,2,Life Sciences,Sales Executive
241,56,Female,3,Life Sciences,Research Scientist
242,33,Male,3,Life Sciences,Research Scientist
244,46,Female,2,Marketing,Sales Executive
245,38,Female,2,Life Sciences,Laboratory Technician
246,31,Female,1,Medical,Research Scientist
247,34,Female,2,Medical,Research Scientist
248,41,Female,2,Marketing,Sales Representative
249,50,Male,3,Medical,Laboratory Technician
250,53,Female,2,Medical,Manufacturing Director
252,33,Female,3,Medical,Research Scientist
253,40,Female,1,Medical,Manager
254,55,Male,4,Medical,Research Director
256,34,Male,1,Life Sciences,Manufacturing Director
258,51,Female,3,Medical,Healthcare Representative
259,52,Male,4,Life Sciences,Manager
261,35,Male,2,Life Sciences,Manufacturing Director
262,43,Male,3,Medical,Research Scientist
264,45,Male,2,Medical,Manager
267,37,Male,3,Life Sciences,Research Scientist
269,35,Female,3,Medical,Laboratory Technician
270,42,Female,2,Medical,Manufacturing Director
271,38,Male,4,Life Sciences,Manufacturing Director
273,38,Male,3,Technical Degree,Manufacturing Director
275,49,Male,4,Life Sciences,Manufacturing Director
277,34,Male,4,Medical,Research Scientist
281,40,Male,2,Medical,Laboratory Technician
282,38,Male,1,Medical,Healthcare Representative
286,36,Female,1,Medical,Laboratory Technician
287,40,Male,5,Life Sciences,Healthcare Representative
288,46,Male,4,Medical,Healthcare Representative
291,32,Male,4,Medical,Sales Executive
296,51,Male,4,Life Sciences,Research Director
298,41,Female,3,Life Sciences,Manager
302,45,Female,3,Medical,Sales Executive
303,54,Female,3,Marketing,Sales Executive
304,36,Male,2,Life Sciences,Laboratory Technician
305,33,Female,4,Medical,Research Scientist
306,37,Male,3,Other,Research Director
307,38,Male,3,Life Sciences,Sales Executive
308,31,Male,4,Medical,Manufacturing Director
309,59,Male,3,Life Sciences,Research Scientist
311,37,Male,4,Marketing,Sales Representative
314,35,Female,3,Marketing,Sales Executive
316,52,Female,3,Life Sciences,Laboratory Technician
319,42,Male,2,Technical Degree,Manager
321,59,Male,2,Medical,Human Resources
323,50,Female,4,Medical,Manager
325,33,Male,3,Medical,Laboratory Technician
327,43,Female,3,Marketing,Manager
328,33,Female,2,Life Sciences,Laboratory Technician
329,52,Male,4,Life Sciences,Manager
330,32,Female,2,Life Sciences,Sales Representative
331,32,Male,3,Life Sciences,Laboratory Technician
332,39,Female,4,Medical,Laboratory Technician
333,32,Male,4,Marketing,Sales Executive
334,41,Male,2,Life Sciences,Research Scientist
335,40,Male,2,Technical Degree,Research Scientist
336,45,Male,3,Other,Manager
337,31,Male,4,Medical,Research Director
338,33,Female,4,Life Sciences,Research Scientist
339,34,Male,4,Life Sciences,Manufacturing Director
340,37,Female,2,Medical,Research Scientist
341,45,Male,4,Life Sciences,Manufacturing Director
342,37,Male,3,Medical,Manufacturing Director
343,39,Female,4,Technical Degree,Healthcare Representative
347,42,Female,2,Life Sciences,Research Scientist
351,42,Female,3,Medical,Laboratory Technician
352,40,Male,2,Medical,Research Director
353,51,Male,3,Life Sciences,Research Scientist
355,31,Male,2,Medical,Laboratory Technician
359,32,Male,3,Life Sciences,Laboratory Technician
361,38,Male,2,Life Sciences,Sales Executive
362,32,Male,1,Technical Degree,Laboratory Technician
363,46,Female,3,Technical Degree,Manager
367,31,Male,3,Medical,Healthcare Representative
372,45,Male,2,Medical,Healthcare Representative
373,36,Male,3,Life Sciences,Laboratory Technician
374,55,Male,3,Medical,Manager
376,47,Male,4,Life Sciences,Manager
378,37,Male,4,Medical,Sales Executive
380,37,Female,4,Medical,Research Director
381,35,Female,3,Life Sciences,Manager
382,38,Female,2,Medical,Sales Executive
385,50,Male,1,Life Sciences,Research Director
386,53,Male,4,Medical,Research Director
387,42,Male,1,Life Sciences,Sales Executive
389,55,Male,2,Technical Degree,Laboratory Technician
391,37,Female,3,Life Sciences,Research Scientist
392,44,Male,3,Life Sciences,Laboratory Technician
393,38,Male,4,Life Sciences,Healthcare Representative
396,49,Female,4,Life Sciences,Research Director
397,36,Male,3,Technical Degree,Research Scientist
399,31,Female,3,Marketing,Sales Representative
403,37,Male,3,Medical,Research Scientist
404,42,Female,3,Marketing,Sales Executive
406,35,Male,3,Marketing,Sales Executive
407,36,Male,4,Life Sciences,Laboratory Technician
408,51,Male,3,Medical,Manufacturing Director
410,41,Male,4,Life Sciences,Manager
416,31,Male,3,Technical Degree,Sales Executive
417,39,Male,3,Medical,Healthcare Representative
419,36,Female,4,Life Sciences,Laboratory Technician
420,32,Male,3,Life Sciences,Sales Executive
421,38,Female,2,Life Sciences,Research Director
422,58,Male,4,Life Sciences,Healthcare Representative
423,31,Male,4,Technical Degree,Research Scientist
424,31,Male,3,Human Resources,Human Resources
425,45,Male,3,Life Sciences,Laboratory Technician
426,31,Male,4,Life Sciences,Research Scientist
428,33,Female,4,Life Sciences,Manager
429,39,Male,1,Medical,Manager
430,43,Female,4,Life Sciences,Laboratory Technician
431,49,Female,2,Technical Degree,Healthcare Representative
433,52,Male,4,Medical,Research Scientist
436,32,Female,2,Technical Degree,Sales Executive
438,31,Male,3,Marketing,Sales Executive
439,32,Female,4,Medical,Research Scientist
442,31,Female,2,Life Sciences,Manufacturing Director
444,39,Male,2,Medical,Manager
445,39,Female,2,Medical,Sales Executive
446,33,Male,3,Marketing,Sales Executive
447,47,Male,5,Life Sciences,Research Director
448,43,Female,4,Life Sciences,Laboratory Technician
450,54,Female,4,Life Sciences,Research Scientist
451,43,Female,3,Life Sciences,Healthcare Representative
452,45,Male,4,Other,Research Scientist
453,40,Male,2,Medical,Sales Executive
460,37,Male,2,Medical,Manufacturing Director
461,38,Male,2,Life Sciences,Research Director
462,31,Female,4,Medical,Manufacturing Director
464,35,Male,4,Technical Degree,Manufacturing Director
466,41,Male,3,Medical,Manufacturing Director
467,47,Male,1,Medical,Sales Representative
468,42,Female,5,Life Sciences,Research Director
470,42,Male,1,Technical Degree,Human Resources
471,32,Female,3,Medical,Laboratory Technician
473,48,Female,1,Medical,Manager
474,37,Male,3,Medical,Research Scientist
477,42,Male,4,Other,Healthcare Representative
479,36,Female,5,Medical,Sales Executive
481,36,Male,4,Medical,Sales Executive
482,57,Male,4,Medical,Healthcare Representative
483,40,Female,4,Life Sciences,Laboratory Technician
485,33,Female,3,Marketing,Sales Representative
486,37,Female,3,Medical,Laboratory Technician
487,46,Female,4,Medical,Manufacturing Director
488,41,Male,3,Marketing,Sales Executive
491,50,Male,3,Technical Degree,Healthcare Representative
492,40,Male,2,Marketing,Sales Executive
493,31,Male,4,Life Sciences,Research Scientist
496,35,Male,4,Life Sciences,Healthcare Representative
499,49,Male,3,Other,Healthcare Representative
500,51,Female,2,Life Sciences,Sales Executive
501,36,Female,3,Life Sciences,Research Scientist
502,34,Male,3,Marketing,Sales Executive
505,55,Female,3,Life Sciences,Manager
513,36,Male,2,Medical,Sales Executive
515,37,Female,3,Life Sciences,Laboratory Technician
516,40,Female,2,Marketing,Sales Executive
517,42,Female,4,Life Sciences,Laboratory Technician
518,37,Male,4,Life Sciences,Manufacturing Director
520,43,Male,3,Life Sciences,Research Director
521,40,Female,3,Medical,Laboratory Technician
522,54,Male,2,Medical,Research Director
523,34,Female,4,Marketing,Sales Executive
524,31,Female,2,Medical,Manufacturing Director
525,43,Male,3,Medical,Laboratory Technician
526,43,Female,4,Other,Healthcare Representative
529,37,Female,5,Medical,Research Scientist
530,31,Male,2,Life Sciences,Laboratory Technician
531,39,Male,1,Life Sciences,Manager
532,56,Female,3,Life Sciences,Sales Executive
534,41,Male,3,Marketing,Sales Executive
543,52,Male,3,Medical,Manufacturing Director
544,45,Male,2,Life Sciences,Research Scientist
546,52,Female,2,Life Sciences,Manager
547,42,Female,2,Life Sciences,Research Scientist
549,60,Female,3,Life Sciences,Manager
550,46,Female,3,Medical,Manufacturing Director
551,42,Female,4,Technical Degree,Healthcare Representative
555,34,Female,2,Marketing,Sales Representative
556,38,Male,2,Life Sciences,Laboratory Technician
558,40,Female,4,Life Sciences,Manager
568,57,Male,3,Marketing,Manager
569,50,Male,4,Life Sciences,Manager
573,60,Female,3,Marketing,Sales Executive
574,47,Female,2,Medical,Manufacturing Director
575,46,Male,3,Life Sciences,Research Director
577,35,Male,3,Life Sciences,Laboratory Technician
578,54,Female,4,Life Sciences,Laboratory Technician
579,34,Male,4,Life Sciences,Research Scientist
580,46,Female,3,Marketing,Sales Executive
581,31,Male,1,Life Sciences,Manufacturing Director
582,33,Male,1,Medical,Manager
584,33,Male,1,Medical,Laboratory Technician
586,35,Male,3,Life Sciences,Healthcare Representative
587,31,Male,3,Life Sciences,Healthcare Representative
590,34,Female,3,Human Resources,Human Resources
591,42,Male,2,Other,Laboratory Technician
592,36,Male,4,Medical,Sales Executive
595,48,Female,5,Marketing,Sales Executive
597,55,Female,5,Life Sciences,Manager
599,41,Male,2,Life Sciences,Sales Executive
600,35,Male,3,Marketing,Sales Executive
601,40,Female,3,Life Sciences,Manufacturing Director
602,39,Female,1,Life Sciences,Laboratory Technician
604,31,Male,1,Life Sciences,Sales Executive
605,42,Male,3,Medical,Manufacturing Director
606,45,Male,3,Other,Sales Executive
612,33,Female,5,Medical,Research Director
613,31,Male,3,Life Sciences,Manager
615,40,Male,3,Other,Sales Executive
616,41,Female,4,Other,Healthcare Representative
620,35,Female,3,Medical,Sales Executive
621,34,Male,4,Life Sciences,Sales Executive
623,37,Female,3,Technical Degree,Manufacturing Director
624,46,Female,1,Medical,Healthcare Representative
625,41,Female,5,Life Sciences,Manager
626,37,Male,4,Medical,Sales Executive
630,52,Male,2,Technical Degree,Research Scientist
631,32,Male,4,Other,Sales Executive
634,38,Female,3,Medical,Healthcare Representative
635,37,Female,4,Life Sciences,Manufacturing Director
638,49,Male,4,Life Sciences,Research Director
644,50,Male,3,Medical,Manager
649,34,Male,2,Life Sciences,Research Scientist
650,31,Male,4,Medical,Sales Executive
652,35,Male,2,Other,Laboratory Technician
653,31,Male,4,Medical,Sales Executive
656,37,Male,3,Marketing,Sales Executive
659,42,Female,4,Life Sciences,Healthcare Representative
661,43,Male,4,Other,Research Director
662,38,Female,1,Life Sciences,Research Scientist
663,43,Male,5,Medical,Laboratory Technician
664,48,Female,4,Life Sciences,Manager
665,44,Female,4,Life Sciences,Human Resources
666,34,Female,3,Technical Degree,Sales Representative
671,44,Male,4,Other,Manager
677,33,Male,4,Marketing,Sales Executive
679,32,Female,4,Life Sciences,Research Scientist
682,53,Female,1,Medical,Sales Executive
683,34,Male,5,Life Sciences,Research Scientist
684,45,Female,4,Life Sciences,Sales Executive
689,37,Male,3,Other,Manufacturing Director
691,35,Male,4,Life Sciences,Research Scientist
692,33,Male,3,Life Sciences,Healthcare Representative
698,54,Male,4,Medical,Human Resources
699,36,Male,2,Medical,Manufacturing Director
702,33,Male,3,Life Sciences,Research Scientist
704,35,Male,3,Life Sciences,Laboratory Technician
709,38,Female,4,Marketing,Sales Executive
712,48,Male,1,Marketing,Sales Executive
715,37,Male,2,Life Sciences,Research Scientist
716,50,Male,1,Medical,Laboratory Technician
717,34,Female,3,Medical,Healthcare Representative
721,39,Female,4,Technical Degree,Healthcare Representative
722,32,Male,3,Marketing,Sales Executive
723,50,Male,2,Technical Degree,Sales Executive
724,38,Female,4,Life Sciences,Healthcare Representative
727,32,Female,2,Life Sciences,Research Director
728,47,Male,4,Marketing,Sales Executive
729,40,Male,4,Life Sciences,Sales Executive
730,53,Male,3,Life Sciences,Research Director
731,41,Male,4,Human Resources,Manager
732,60,Male,4,Marketing,Sales Executive
734,41,Male,3,Human Resources,Manager
738,50,Male,4,Marketing,Sales Representative
742,36,Female,3,Life Sciences,Research Director
743,38,Female,3,Life Sciences,Manufacturing Director
744,44,Male,3,Medical,Laboratory Technician
746,47,Female,3,Medical,Sales Executive
752,42,Male,3,Medical,Research Scientist
754,43,Male,3,Life Sciences,Sales Executive
757,34,Female,2,Medical,Healthcare Representative
760,39,Female,3,Human Resources,Human Resources
762,56,Male,3,Medical,Healthcare Representative
763,40,Female,1,Medical,Research Scientist
769,53,Male,3,Life Sciences,Laboratory Technician
771,35,Female,4,Life Sciences,Healthcare Representative
772,32,Male,4,Life Sciences,Laboratory Technician
773,38,Male,5,Medical,Research Scientist
775,34,Female,5,Life Sciences,Manufacturing Director
776,52,Male,4,Marketing,Manager
780,33,Male,4,Other,Research Scientist
783,45,Male,2,Technical Degree,Sales Representative
785,47,Female,2,Life Sciences,Sales Executive
786,34,Male,3,Other,Sales Executive
787,55,Male,3,Medical,Manager
789,36,Male,4,Life Sciences,Sales Executive
791,52,Male,4,Medical,Research Scientist
797,34,Female,4,Life Sciences,Research Scientist
799,54,Female,4,Medical,Manufacturing Director
802,37,Female,1,Life Sciences,Research Scientist
803,38,Female,4,Life Sciences,Manufacturing Director
804,34,Female,4,Medical,Research Scientist
805,35,Female,4,Life Sciences,Sales Representative
807,40,Female,2,Medical,Healthcare Representative
808,34,Female,2,Life Sciences,Sales Executive
809,42,Male,3,Life Sciences,Manager
813,52,Female,4,Life Sciences,Laboratory Technician
815,50,Male,3,Medical,Research Director
817,33,Male,3,Medical,Research Director
819,33,Female,3,Marketing,Sales Executive
820,47,Female,2,Other,Manager
823,36,Female,3,Other,Manufacturing Director
825,58,Male,4,Life Sciences,Research Director
826,35,Female,4,Life Sciences,Research Scientist
827,42,Female,2,Life Sciences,Manufacturing Director
829,36,Male,3,Human Resources,Human Resources
830,32,Female,3,Life Sciences,Manufacturing Director
832,40,Male,4,Medical,Laboratory Technician
834,45,Female,3,Life Sciences,Research Scientist
836,42,Male,3,Life Sciences,Manufacturing Director
837,38,Male,3,Life Sciences,Healthcare Representative
838,34,Female,4,Life Sciences,Research Scientist
840,49,Female,3,Marketing,Sales Executive
842,55,Male,1,Medical,Sales Executive
843,43,Male,2,Life Sciences,Research Director
845,35,Male,3,Other,Manufacturing Director
847,34,Male,2,Human Resources,Human Resources
851,51,Female,4,Marketing,Manager
852,44,Male,3,Medical,Healthcare Representative
855,33,Male,3,Medical,Sales Executive
856,35,Female,1,Medical,Research Scientist
857,36,Male,2,Life Sciences,Sales Executive
859,32,Male,4,Life Sciences,Sales Executive
862,53,Female,2,Marketing,Sales Executive
864,45,Male,3,Marketing,Sales Executive
865,32,Female,2,Medical,Research Scientist
867,52,Female,4,Medical,Manufacturing Director
868,37,Male,4,Marketing,Sales Executive
874,44,Male,4,Life Sciences,Laboratory Technician
875,42,Male,1,Medical,Research Scientist
878,36,Male,3,Life Sciences,Human Resources
880,35,Female,3,Life Sciences,Manufacturing Director
881,35,Female,4,Life Sciences,Research Scientist
882,32,Male,3,Life Sciences,Laboratory Technician
887,49,Female,3,Technical Degree,Research Scientist
889,32,Male,2,Life Sciences,Sales Executive
893,38,Male,3,Marketing,Sales Representative
894,42,Female,3,Life Sciences,Laboratory Technician
895,31,Male,4,Life Sciences,Research Scientist
897,53,Male,3,Marketing,Sales Executive
899,35,Male,3,Technical Degree,Manufacturing Director
900,37,Female,2,Medical,Sales Representative
901,53,Female,4,Life Sciences,Research Director
902,43,Female,3,Life Sciences,Healthcare Representative
903,47,Female,2,Marketing,Sales Executive
904,37,Male,2,Medical,Sales Executive
905,50,Male,4,Life Sciences,Manager
909,39,Female,3,Life Sciences,Human Resources
910,33,Male,2,Human Resources,Human Resources
911,32,Male,4,Life Sciences,Laboratory Technician
913,44,Male,2,Life Sciences,Research Scientist
918,58,Male,1,Life Sciences,Laboratory Technician
920,43,Female,3,Life Sciences,Manufacturing Director
924,36,Male,1,Life Sciences,Healthcare Representative
925,47,Female,4,Life Sciences,Sales Representative
927,41,Female,4,Life Sciences,Laboratory Technician
932,39,Male,3,Medical,Laboratory Technician
934,34,Male,3,Life Sciences,Laboratory Technician
936,42,Female,2,Medical,Sales Executive
939,33,Male,4,Other,Research Scientist
940,58,Female,3,Technical Degree,Healthcare Representative
941,31,Male,4,Life Sciences,Sales Representative
942,35,Female,1,Life Sciences,Healthcare Representative
944,49,Female,2,Other,Laboratory Technician
945,48,Male,4,Medical,Research Scientist
947,31,Female,2,Marketing,Sales Executive
949,36,Male,4,Other,Research Scientist
950,38,Female,3,Technical Degree,Research Director
951,32,Female,3,Life Sciences,Laboratory Technician
954,40,Male,4,Marketing,Sales Executive
957,41,Male,3,Medical,Laboratory Technician
958,36,Male,4,Medical,Laboratory Technician
961,31,Female,3,Medical,Healthcare Representative
964,40,Male,4,Medical,Research Scientist
966,32,Female,4,Medical,Manufacturing Director
967,36,Male,1,Life Sciences,Sales Executive
969,33,Female,3,Life Sciences,Healthcare Representative
970,37,Male,4,Life Sciences,Sales Executive
972,45,Male,2,Life Sciences,Laboratory Technician
975,35,Female,3,Medical,Sales Executive
976,52,Male,2,Life Sciences,Manager
977,58,Male,3,Technical Degree,Research Scientist
981,53,Male,2,Medical,Manager
983,38,Female,3,Technical Degree,Sales Executive
984,35,Male,4,Life Sciences,Sales Executive
985,39,Male,5,Life Sciences,Sales Executive
986,40,Female,3,Life Sciences,Sales Executive
987,47,Male,4,Medical,Manufacturing Director
990,36,Male,4,Technical Degree,Sales Executive
991,31,Male,2,Medical,Research Scientist
992,33,Male,3,Life Sciences,Manager
995,33,Female,1,Life Sciences,Research Scientist
996,45,Female,4,Medical,Laboratory Technician
997,50,Male,2,Medical,Research Director
998,33,Female,4,Other,Healthcare Representative
999,41,Male,3,Medical,Research Director
1002,45,Male,2,Life Sciences,Laboratory Technician
1003,47,Female,2,Life Sciences,Sales Executive
1005,50,Male,3,Life Sciences,Manufacturing Director
1006,38,Male,1,Medical,Research Scientist
1007,46,Male,2,Medical,Manufacturing Director
1010,35,Male,4,Other,Laboratory Technician
1011,31,Female,1,Life Sciences,Manufacturing Director
1013,54,Female,3,Technical Degree,Manufacturing Director
1014,35,Female,4,Medical,Healthcare Representative
1022,48,Male,3,Life Sciences,Healthcare Representative
1024,48,Male,4,Life Sciences,Healthcare Representative
1025,41,Female,2,Medical,Manufacturing Director
1026,39,Female,1,Life Sciences,Manufacturing Director
1028,35,Male,3,Other,Laboratory Technician
1029,42,Male,2,Marketing,Manager
1030,50,Male,3,Life Sciences,Laboratory Technician
1032,59,Female,3,Life Sciences,Manufacturing Director
1033,37,Female,2,Medical,Healthcare Representative
1034,55,Male,4,Medical,Healthcare Representative
1035,41,Female,1,Life Sciences,Research Director
1036,38,Male,4,Life Sciences,Sales Executive
