Employee Number,Age,Gender,Education Level,Educational Field,Position
7,27,Male,1,Medical,Laboratory Technician
11,30,Male,1,Life Sciences,Laboratory Technician
15,29,Female,2,Life Sciences,Laboratory Technician
19,28,Male,3,Life Sciences,Laboratory Technician
20,29,Female,4,Life Sciences,Manufacturing Director
22,22,Male,2,Medical,Laboratory Technician
26,24,Female,2,Other,Manufacturing Director
30,21,Male,2,Life Sciences,Research Scientist
41,30,Male,2,Medical,Laboratory Technician
45,24,Male,3,Medical,Research Scientist
54,27,Female,4,Life Sciences,Laboratory Technician
55,26,Male,3,Life Sciences,Laboratory Technician
56,27,Male,3,Life Sciences,Sales Executive
57,30,Female,2,Medical,Laboratory Technician
65,28,Male,4,Technical Degree,Laboratory Technician
72,26,Female,3,Marketing,Sales Executive
94,29,Male,3,Life Sciences,Research Scientist
104,30,Male,1,Life Sciences,Laboratory Technician
113,23,Male,1,Technical Degree,Sales Representative
117,30,Male,3,Life Sciences,Healthcare Representative
121,30,Female,2,Medical,Sales Executive
128,24,Female,2,Other,Sales Executive
129,28,Male,3,Medical,Sales Executive
137,20,Female,3,Life Sciences,Laboratory Technician
142,25,Male,3,Marketing,Sales Executive
143,25,Male,1,Medical,Research Scientist
144,22,Female,3,Medical,Laboratory Technician
150,24,Male,1,Life Sciences,Laboratory Technician
159,30,Male,3,Life Sciences,Research Scientist
164,26,Female,3,Other,Research Scientist
167,19,Male,1,Marketing,Sales Representative
169,22,Male,1,Technical Degree,Laboratory Technician
177,26,Female,1,Life Sciences,Human Resources
183,25,Male,3,Life Sciences,Sales Executive
184,30,Male,3,Human Resources,Human Resources
194,30,Female,3,Life Sciences,Research Scientist
197,30,Female,3,Technical Degree,Research Scientist
198,30,Male,1,Medical,Laboratory Technician
201,19,Female,1,Medical,Laboratory Technician
208,29,Male,1,Technical Degree,Manufacturing Director
217,22,Male,1,Medical,Research Scientist
218,27,Male,3,Medical,Research Scientist
221,28,Male,3,Medical,Research Scientist
224,27,Male,3,Medical,Research Scientist
228,30,Female,3,Life Sciences,Sales Executive
233,27,Male,3,Technical Degree,Research Scientist
235,19,Female,1,Technical Degree,Sales Representative
239,30,Male,3,Medical,Laboratory Technician
243,19,Male,3,Life Sciences,Laboratory Technician
260,27,Female,3,Medical,Research Scientist
274,27,Male,1,Technical Degree,Manufacturing Director
283,29,Female,3,Marketing,Sales Executive
284,22,Male,3,Life Sciences,Research Scientist
292,30,Male,1,Life Sciences,Manufacturing Director
293,27,Female,3,Life Sciences,Sales Executive
297,30,Female,3,Technical Degree,Research Scientist
299,30,Female,4,Marketing,Sales Executive
300,29,Male,3,Technical Degree,Research Scientist
312,29,Female,1,Medical,Sales Executive
315,29,Male,1,Medical,Research Scientist
346,29,Male,3,Life Sciences,Research Scientist
349,29,Male,2,Marketing,Sales Executive
350,25,Female,3,Life Sciences,Manufacturing Director
364,28,Male,4,Life Sciences,Laboratory Technician
366,29,Male,3,Medical,Sales Executive
369,25,Male,2,Life Sciences,Healthcare Representative
377,28,Male,3,Medical,Research Scientist
379,21,Male,2,Medical,Research Scientist
384,26,Female,3,Life Sciences,Manufacturing Director
388,29,Male,2,Life Sciences,Sales Executive
390,26,Male,2,Medical,Healthcare Representative
394,26,Male,4,Medical,Laboratory Technician
395,28,Female,2,Life Sciences,Research Scientist
401,26,Male,4,Marketing,Sales Executive
405,18,Male,3,Life Sciences,Laboratory Technician
411,18,Female,3,Medical,Sales Representative
412,28,Male,2,Medical,Healthcare Representative
434,27,Female,3,Life Sciences,Research Scientist
437,27,Male,3,Life Sciences,Sales Executive
440,28,Male,4,Medical,Research Scientist
441,30,Female,2,Medical,Research Scientist
449,27,Male,1,Marketing,Sales Executive
454,29,Male,4,Other,Laboratory Technician
455,29,Male,5,Other,Laboratory Technician
456,30,Female,3,Marketing,Sales Executive
458,27,Female,4,Marketing,Sales Executive
463,29,Female,1,Marketing,Sales Executive
465,23,Male,1,Life Sciences,Research Scientist
469,29,Male,3,Life Sciences,Sales Executive
475,30,Female,2,Technical Degree,Sales Executive
476,26,Male,3,Life Sciences,Sales Executive
478,21,Female,1,Technical Degree,Sales Representative
484,21,Male,2,Medical,Sales Representative
494,21,Female,3,Life Sciences,Sales Representative
495,29,Male,3,Life Sciences,Research Scientist
497,27,Male,2,Medical,Laboratory Technician
498,28,Male,4,Life Sciences,Sales Executive
507,24,Female,4,Marketing,Sales Executive
508,30,Male,1,Technical Degree,Sales Representative
510,26,Male,1,Technical Degree,Research Scientist
511,22,Female,3,Medical,Research Scientist
514,30,Male,3,Technical Degree,Research Scientist
527,25,Female,2,Life Sciences,Sales Executive
533,30,Female,3,Technical Degree,Sales Executive
536,28,Male,2,Medical,Laboratory Technician
538,25,Male,3,Medical,Laboratory Technician
548,30,Female,3,Life Sciences,Manufacturing Director
554,24,Female,1,Technical Degree,Sales Representative
560,26,Female,3,Life Sciences,Research Scientist
562,30,Male,3,Life Sciences,Laboratory Technician
564,29,Male,4,Medical,Research Director
565,29,Female,5,Technical Degree,Research Scientist
566,19,Male,2,Technical Degree,Human Resources
567,30,Female,4,Other,Sales Executive
571,30,Female,3,Medical,Laboratory Technician
585,30,Male,1,Marketing,Sales Representative
593,22,Male,1,Technical Degree,Laboratory Technician
608,26,Female,4,Life Sciences,Human Resources
611,29,Male,3,Technical Degree,Manufacturing Director
614,18,Male,3,Marketing,Sales Representative
618,26,Male,2,Medical,Sales Executive
622,26,Male,3,Technical Degree,Laboratory Technician
632,24,Male,3,Medical,Sales Representative
639,24,Male,3,Medical,Research Scientist
641,26,Male,2,Marketing,Sales Executive
643,24,Male,2,Other,Laboratory Technician
645,25,Male,1,Medical,Sales Representative
647,24,Female,3,Life Sciences,Laboratory Technician
648,30,Male,4,Life Sciences,Sales Representative
655,27,Female,4,Medical,Research Scientist
657,20,Female,3,Life Sciences,Research Scientist
667,27,Male,1,Marketing,Sales Representative
669,21,Male,1,Technical Degree,Sales Representative
675,22,Male,1,Medical,Research Scientist
680,30,Female,3,Medical,Research Scientist
686,26,Female,3,Life Sciences,Laboratory Technician
690,29,Female,2,Medical,Sales Executive
700,27,Male,4,Medical,Research Scientist
701,20,Male,1,Medical,Research Scientist
705,23,Male,3,Medical,Research Scientist
707,25,Male,3,Life Sciences,Sales Executive
710,29,Male,4,Life Sciences,Research Scientist
714,27,Female,1,Medical,Sales Executive
720,24,Female,2,Life Sciences,Sales Executive
725,27,Female,2,Life Sciences,Manufacturing Director
733,27,Male,2,Life Sciences,Manufacturing Director
741,28,Female,2,Life Sciences,Research Scientist
747,30,Male,5,Marketing,Sales Executive
749,29,Male,3,Life Sciences,Sales Representative
758,23,Male,1,Medical,Laboratory Technician
764,27,Female,3,Medical,Healthcare Representative
766,29,Male,3,Marketing,Sales Representative
781,25,Female,1,Medical,Sales Executive
784,23,Male,1,Medical,Research Scientist
792,26,Female,2,Life Sciences,Laboratory Technician
793,29,Female,3,Medical,Healthcare Representative
796,26,Male,3,Technical Degree,Sales Executive
800,27,Male,1,Marketing,Sales Executive
806,30,Male,3,Life Sciences,Laboratory Technician
811,23,Male,3,Life Sciences,Laboratory Technician
812,24,Male,3,Life Sciences,Laboratory Technician
816,29,Female,2,Life Sciences,Laboratory Technician
824,29,Male,2,Life Sciences,Research Scientist
828,28,Male,4,Medical,Research Scientist
833,30,Female,3,Medical,Manufacturing Director
844,27,Male,1,Technical Degree,Research Director
846,28,Female,4,Marketing,Sales Executive
848,26,Female,2,Medical,Research Scientist
850,27,Male,3,Medical,Research Scientist
854,25,Male,1,Medical,Research Scientist
861,30,Male,4,Life Sciences,Research Scientist
869,28,Male,2,Medical,Human Resources
872,22,Male,2,Life Sciences,Manufacturing Director
879,25,Male,1,Other,Sales Executive
885,25,Male,1,Marketing,Sales Executive
888,24,Male,1,Life Sciences,Laboratory Technician
896,29,Female,3,Medical,Sales Representative
912,29,Female,1,Medical,Laboratory Technician
916,28,Male,4,Medical,Sales Executive
922,20,Female,3,Medical,Sales Representative
923,21,Female,1,Other,Research Scientist
926,22,Female,1,Life Sciences,Manufacturing Director
930,28,Female,3,Medical,Research Scientist
933,27,Female,3,Life Sciences,Research Scientist
952,25,Male,2,Marketing,Sales Representative
956,26,Male,3,Medical,Sales Executive
959,19,Male,3,Other,Sales Representative
960,20,Male,3,Technical Degree,Laboratory Technician
974,29,Female,3,Technical Degree,Sales Representative
982,30,Male,2,Other,Sales Executive
994,29,Female,3,Life Sciences,Research Scientist
1001,27,Female,4,Technical Degree,Laboratory Technician
1004,30,Female,3,Life Sciences,Research Scientist
1009,24,Female,1,Medical,Manufacturing Director
1012,18,Male,2,Life Sciences,Research Scientist
1015,30,Female,2,Life Sciences,Research Director
1016,20,Female,3,Medical,Research Scientist
1017,30,Female,3,Medical,Laboratory Technician
1018,26,Male,2,Medical,Manufacturing Director
1019,22,Male,1,Life Sciences,Laboratory Technician
1027,27,Female,4,Life Sciences,Manufacturing Director
1037,26,Male,2,Medical,Sales Executive
1053,26,Male,3,Life Sciences,Research Scientist
1056,28,Male,1,Medical,Sales Representative
1068,26,Female,1,Medical,Research Scientist
1077,20,Female,3,Marketing,Sales Representative
1079,21,Female,3,Life Sciences,Laboratory Technician
1082,28,Male,2,Technical Degree,Healthcare Representative
1083,26,Male,2,Medical,Laboratory Technician
1084,30,Male,3,Other,Manufacturing Director
1094,27,Male,5,Life Sciences,Laboratory Technician
1097,28,Female,3,Other,Research Scientist
1102,28,Male,2,Life Sciences,Laboratory Technician
1106,25,Male,1,Technical Degree,Laboratory Technician
1107,26,Male,3,Medical,Laboratory Technician
1111,28,Male,3,Medical,Laboratory Technician
1120,29,Female,4,Life Sciences,Research Scientist
1121,28,Female,3,Medical,Manufacturing Director
1131,21,Female,1,Technical Degree,Research Scientist
1136,28,Male,1,Life Sciences,Research Scientist
1143,29,Female,3,Life Sciences,Research Scientist
1150,29,Male,1,Medical,Manufacturing Director
1154,28,Male,3,Life Sciences,Research Scientist
1156,18,Male,1,Medical,Laboratory Technician
1162,27,Male,3,Life Sciences,Research Scientist
1165,29,Female,1,Life Sciences,Sales Executive
1173,24,Male,3,Medical,Laboratory Technician
1175,28,Female,1,Life Sciences,Laboratory Technician
1177,26,Male,4,Medical,Laboratory Technician
1179,30,Male,3,Marketing,Sales Executive
1192,29,Female,1,Medical,Laboratory Technician
1193,19,Male,2,Life Sciences,Research Scientist
1198,20,Male,3,Life Sciences,Laboratory Technician
1202,29,Female,1,Life Sciences,Research Scientist
1203,22,Male,4,Life Sciences,Research Scientist
1211,30,Male,4,Life Sciences,Sales Executive
1216,28,Male,4,Medical,Laboratory Technician
1219,24,Female,2,Life Sciences,Laboratory Technician
1224,30,Male,4,Life Sciences,Laboratory Technician
1226,20,Male,3,Marketing,Sales Representative
1240,25,Male,4,Life Sciences,Sales Executive
1241,30,Male,3,Medical,Research Scientist
1244,27,Male,3,Life Sciences,Research Scientist
1248,19,Female,3,Medical,Research Scientist
1249,29,Female,3,Life Sciences,Research Scientist
1259,27,Male,2,Life Sciences,Research Scientist
1260,29,Male,3,Life Sciences,Healthcare Representative
1264,29,Female,3,Life Sciences,Research Director
1269,19,Female,3,Life Sciences,Research Scientist
1270,23,Male,2,Life Sciences,Research Scientist
1273,25,Male,1,Life Sciences,Sales Representative
1275,26,Male,2,Life Sciences,Research Scientist
1279,21,Female,2,Life Sciences,Laboratory Technician
1286,28,Male,4,Medical,Laboratory Technician
1296,28,Male,3,Life Sciences,Laboratory Technician
1298,30,Female,2,Medical,Manufacturing Director
1299,29,Female,3,Technical Degree,Laboratory Technician
1301,28,Male,3,Technical Degree,Research Scientist
1303,25,Female,3,Medical,Research Scientist
1311,30,Female,3,Technical Degree,Laboratory Technician
1315,28,Female,3,Life Sciences,Laboratory Technician
1321,30,Female,4,Medical,Manager
1358,25,Male,1,Medical,Laboratory Technician
1364,27,Female,3,Medical,Sales Representative
1368,18,Female,3,Life Sciences,Laboratory Technician
1371,27,Male,1,Life Sciences,Sales Executive
1387,28,Male,3,Life Sciences,Sales Executive
1399,25,Male,1,Life Sciences,Sales Executive
1403,27,Female,3,Marketing,Sales Executive
1405,27,Female,4,Life Sciences,Research Scientist
1407,26,Male,1,Medical,Research Scientist
1415,25,Male,3,Technical Degree,Laboratory Technician
1417,26,Male,3,Other,Laboratory Technician
1419,29,Male,3,Other,Human Resources
1421,29,Female,1,Other,Healthcare Representative
1428,30,Female,4,Marketing,Sales Executive
1434,27,Male,1,Life Sciences,Laboratory Technician
1439,25,Male,2,Life Sciences,Sales Representative
1445,24,Female,1,Medical,Sales Executive
1469,28,Male,3,Medical,Sales Executive
1479,30,Male,1,Life Sciences,Sales Executive
1482,30,Male,3,Technical Degree,Research Scientist
1486,28,Male,3,Technical Degree,Sales Representative
1487,29,Female,3,Technical Degree,Sales Executive
1494,24,Male,3,Medical,Laboratory Technician
1495,24,Female,2,Life Sciences,Sales Representative
1497,29,Male,3,Life Sciences,Sales Executive
1499,30,Male,3,Life Sciences,Human Resources
1504,28,Male,2,Medical,Laboratory Technician
1506,28,Male,3,Life Sciences,Research Scientist
1507,28,Male,3,Life Sciences,Sales Executive
1513,29,Female,1,Life Sciences,Laboratory Technician
1514,28,Male,1,Life Sciences,Manufacturing Director
1522,29,Male,4,Technical Degree,Research Scientist
1533,23,Male,1,Life Sciences,Laboratory Technician
1544,29,Female,1,Other,Healthcare Representative
1551,24,Male,2,Technical Degree,Laboratory Technician
1558,29,Male,3,Life Sciences,Research Scientist
1562,30,Male,3,Life Sciences,Sales Executive
1568,30,Male,4,Technical Degree,Sales Executive
1581,26,Female,3,Life Sciences,Research Scientist
1586,29,Male,1,Medical,Laboratory Technician
1590,29,Male,1,Life Sciences,Healthcare Representative
1592,23,Male,3,Technical Degree,Research Scientist
1604,28,Male,3,Medical,Laboratory Technician
1605,22,Female,2,Other,Research Scientist
1609,30,Male,3,Medical,Research Scientist
1619,27,Male,3,Other,Laboratory Technician
1622,28,Female,3,Medical,Manufacturing Director
1623,21,Male,1,Medical,Research Scientist
1624,18,Female,2,Medical,Sales Representative
1646,24,Female,1,Technical Degree,Research Scientist
1647,27,Female,3,Medical,Research Scientist
1648,27,Male,3,Medical,Research Scientist
1650,29,Male,3,Medical,Sales Executive
1653,25,Male,1,Life Sciences,Manufacturing Director
1657,20,Female,3,Medical,Sales Representative
1669,29,Male,3,Medical,Sales Executive
1680,20,Male,1,Life Sciences,Sales Representative
1684,23,Male,1,Medical,Laboratory Technician
1693,26,Male,3,Medical,Laboratory Technician
1702,23,Male,3,Life Sciences,Sales Representative
1707,24,Male,3,Medical,Research Scientist
1709,29,Female,4,Medical,Laboratory Technician
1714,24,Male,1,Human Resources,Human Resources
1718,26,Male,4,Medical,Laboratory Technician
1725,24,Male,1,Medical,Laboratory Technician
1729,30,Male,1,Life Sciences,Research Scientist
1735,23,Female,1,Medical,Laboratory Technician
1745,30,Female,4,Technical Degree,Research Scientist
1746,24,Male,3,Medical,Human Resources
1747,30,Female,3,Human Resources,Human Resources
1751,27,Female,3,Medical,Research Scientist
1752,29,Female,3,Marketing,Sales Representative
1753,29,Male,3,Life Sciences,Healthcare Representative
1754,30,Male,2,Marketing,Sales Executive
1762,29,Female,3,Technical Degree,Research Scientist
1763,30,Male,3,Life Sciences,Healthcare Representative
1780,21,Male,1,Marketing,Sales Representative
1783,22,Female,1,Medical,Laboratory Technician
1799,28,Male,3,Life Sciences,Research Scientist
1816,30,Female,3,Medical,Manufacturing Director
1818,26,Female,2,Medical,Human Resources
1834,28,Female,3,Medical,Research Scientist
1836,26,Male,3,Medical,Sales Executive
1839,18,Female,3,Medical,Research Scientist
1844,29,Male,3,Human Resources,Human Resources
1850,27,Female,2,Life Sciences,Laboratory Technician
1852,29,Male,1,Medical,Laboratory Technician
1858,28,Male,2,Life Sciences,Human Resources
1859,29,Male,1,Life Sciences,Healthcare Representative
1864,27,Female,1,Medical,Sales Representative
1865,29,Male,1,Medical,Human Resources
1868,29,Male,2,Life Sciences,Research Scientist
1870,27,Female,3,Life Sciences,Research Scientist
1875,28,Female,3,Medical,Sales Representative
1876,30,Male,3,Medical,Sales Representative
1878,22,Male,1,Life Sciences,Research Scientist
1883,29,Male,3,Life Sciences,Laboratory Technician
1893,26,Female,2,Life Sciences,Research Scientist
1898,27,Female,2,Medical,Sales Executive
1918,26,Male,3,Other,Laboratory Technician
1927,28,Male,2,Life Sciences,Sales Executive
1928,29,Male,3,Technical Degree,Sales Representative
1931,27,Male,4,Technical Degree,Research Scientist
1933,28,Female,2,Marketing,Sales Executive
1944,27,Female,3,Human Resources,Human Resources
1947,28,Male,3,Medical,Research Scientist
1952,26,Male,3,Medical,Laboratory Technician
1954,29,Male,3,Life Sciences,Healthcare Representative
1960,28,Male,3,Technical Degree,Laboratory Technician
1965,27,Male,3,Marketing,Sales Executive
1981,24,Male,2,Life Sciences,Healthcare Representative
1982,23,Male,2,Other,Laboratory Technician
1987,25,Female,3,Human Resources,Human Resources
1989,30,Male,2,Medical,Laboratory Technician
1992,25,Male,1,Other,Laboratory Technician
2007,22,Male,2,Life Sciences,Research Scientist
2018,25,Female,2,Other,Sales Executive
2021,21,Male,1,Medical,Sales Representative
2023,23,Male,3,Marketing,Sales Representative
2027,29,Male,4,Medical,Research Scientist
2053,29,Male,2,Other,Laboratory Technician
2054,29,Female,4,Medical,Research Scientist
2060,26,Female,3,Other,Sales Representative
2064,27,Male,3,Life Sciences,Manufacturing Director
